Training Start, luck bless me, plz!
{
    "output_model": "varmisuse",
Runing epoch 23 (validation), batch 52 (has 64 graphs). Loss so far: 0.6832
Runing epoch 23 (validation), batch 53 (has 64 graphs). Loss so far: 0.6852
Runing epoch 23 (validation), batch 54 (has 64 graphs). Loss so far: 0.6790
Runing epoch 23 (validation), batch 55 (has 64 graphs). Loss so far: 0.6752
Runing epoch 23 (validation), batch 56 (has 64 graphs). Loss so far: 0.6735
Runing epoch 23 (validation), batch 57 (has 64 graphs). Loss so far: 0.6621
Runing epoch 23 (validation), batch 58 (has 64 graphs). Loss so far: 0.6635
Runing epoch 23 (validation), batch 59 (has 64 graphs). Loss so far: 0.6523
Runing epoch 23 (validation), batch 60 (has 64 graphs). Loss so far: 0.6437
Runing epoch 23 (validation), batch 61 (has 64 graphs). Loss so far: 0.6334
Runing epoch 23 (validation), batch 62 (has 64 graphs). Loss so far: 0.6343
Runing epoch 23 (validation), batch 63 (has 64 graphs). Loss so far: 0.6482
Runing epoch 23 (validation), batch 64 (has 64 graphs). Loss so far: 0.6458
Runing epoch 23 (validation), batch 65 (has 64 graphs). Loss so far: 0.6473
Runing epoch 23 (validation), batch 66 (has 64 graphs). Loss so far: 0.6412
Runing epoch 23 (validation), batch 67 (has 61 graphs). Loss so far: 0.6318

[K valid: loss: 0.63176 || Top1 0.692 Top2 0.937 Top3 0.974 Top4 0.995 Top5 1.000 || graphs/sec: 63.44 | nodes/sec: 3172 | graphs: 4285 | nodes: 214250 | lr: 0.001000
  (Best epoch so far, target metric decreased to -0.69216 from -0.65998. Saving to 'trained_models/model_save/Single-Task_2022-05-23-16-02-41_32794_resgagn_resgagn_best_model')
== Epoch 24
Runing epoch 24 (training), batch 1 (has 64 graphs). Loss so far: 0.3303
Runing epoch 24 (training), batch 2 (has 64 graphs). Loss so far: 0.2422
Runing epoch 24 (training), batch 3 (has 64 graphs). Loss so far: 0.3331
Runing epoch 24 (training), batch 4 (has 64 graphs). Loss so far: 0.2716
Runing epoch 24 (training), batch 5 (has 64 graphs). Loss so far: 0.2405
Runing epoch 24 (training), batch 6 (has 64 graphs). Loss so far: 0.2035
Runing epoch 24 (training), batch 7 (has 64 graphs). Loss so far: 0.1745
Runing epoch 24 (training), batch 8 (has 64 graphs). Loss so far: 0.1611
Runing epoch 24 (training), batch 9 (has 64 graphs). Loss so far: 0.2458
Runing epoch 24 (training), batch 10 (has 64 graphs). Loss so far: 0.2689
Runing epoch 24 (training), batch 11 (has 64 graphs). Loss so far: 0.2536
Runing epoch 24 (training), batch 12 (has 64 graphs). Loss so far: 0.2528
Runing epoch 24 (training), batch 13 (has 64 graphs). Loss so far: 0.5219
Runing epoch 24 (training), batch 14 (has 64 graphs). Loss so far: 0.5213
Runing epoch 24 (training), batch 15 (has 64 graphs). Loss so far: 0.5276
Runing epoch 24 (training), batch 16 (has 64 graphs). Loss so far: 0.5977
Runing epoch 24 (training), batch 17 (has 64 graphs). Loss so far: 0.5626
Runing epoch 24 (training), batch 18 (has 64 graphs). Loss so far: 0.5795
Runing epoch 24 (training), batch 19 (has 64 graphs). Loss so far: 0.5779
Runing epoch 24 (training), batch 20 (has 64 graphs). Loss so far: 0.5784
Runing epoch 24 (training), batch 21 (has 64 graphs). Loss so far: 0.5911
Runing epoch 24 (training), batch 22 (has 64 graphs). Loss so far: 0.5644
Runing epoch 24 (training), batch 23 (has 64 graphs). Loss so far: 0.5917
Runing epoch 24 (training), batch 24 (has 64 graphs). Loss so far: 0.6089
Runing epoch 24 (training), batch 25 (has 64 graphs). Loss so far: 0.6103
Runing epoch 24 (training), batch 26 (has 64 graphs). Loss so far: 0.5964
Runing epoch 24 (training), batch 27 (has 64 graphs). Loss so far: 0.5790
Runing epoch 24 (training), batch 28 (has 64 graphs). Loss so far: 0.6365
Runing epoch 24 (training), batch 29 (has 64 graphs). Loss so far: 0.6293
Runing epoch 24 (training), batch 30 (has 64 graphs). Loss so far: 0.6214
Runing epoch 24 (training), batch 31 (has 64 graphs). Loss so far: 0.6062
Runing epoch 24 (training), batch 32 (has 64 graphs). Loss so far: 0.6053
Runing epoch 24 (training), batch 33 (has 64 graphs). Loss so far: 0.6068
Runing epoch 24 (training), batch 34 (has 64 graphs). Loss so far: 0.6133
Runing epoch 24 (training), batch 35 (has 64 graphs). Loss so far: 0.6120
Runing epoch 24 (training), batch 36 (has 64 graphs). Loss so far: 0.6224
Runing epoch 24 (training), batch 37 (has 64 graphs). Loss so far: 0.6204
Runing epoch 24 (training), batch 38 (has 64 graphs). Loss so far: 0.6058
Runing epoch 24 (training), batch 39 (has 64 graphs). Loss so far: 0.5904
Runing epoch 24 (training), batch 40 (has 64 graphs). Loss so far: 0.5897
Runing epoch 24 (training), batch 41 (has 64 graphs). Loss so far: 0.5868
Runing epoch 24 (training), batch 42 (has 64 graphs). Loss so far: 0.5814
Runing epoch 24 (training), batch 43 (has 64 graphs). Loss so far: 0.5687
Runing epoch 24 (training), batch 44 (has 64 graphs). Loss so far: 0.5561
Runing epoch 24 (training), batch 45 (has 64 graphs). Loss so far: 0.5452
Runing epoch 24 (training), batch 46 (has 64 graphs). Loss so far: 0.5334
Runing epoch 24 (training), batch 47 (has 64 graphs). Loss so far: 0.5221
Runing epoch 24 (training), batch 48 (has 64 graphs). Loss so far: 0.5356
Runing epoch 24 (training), batch 49 (has 64 graphs). Loss so far: 0.5303
Runing epoch 24 (training), batch 50 (has 64 graphs). Loss so far: 0.5300
Runing epoch 24 (training), batch 51 (has 64 graphs). Loss so far: 0.5268
Runing epoch 24 (training), batch 52 (has 64 graphs). Loss so far: 0.5178
Runing epoch 24 (training), batch 53 (has 64 graphs). Loss so far: 0.5324
Runing epoch 24 (training), batch 54 (has 64 graphs). Loss so far: 0.5330
Runing epoch 24 (training), batch 55 (has 64 graphs). Loss so far: 0.5233
Runing epoch 24 (training), batch 56 (has 64 graphs). Loss so far: 0.5162
Runing epoch 24 (training), batch 57 (has 64 graphs). Loss so far: 0.5166
Runing epoch 24 (training), batch 58 (has 64 graphs). Loss so far: 0.5187
Runing epoch 24 (training), batch 59 (has 64 graphs). Loss so far: 0.5261
Runing epoch 24 (training), batch 60 (has 64 graphs). Loss so far: 0.5234
Runing epoch 24 (training), batch 61 (has 64 graphs). Loss so far: 0.5320
Runing epoch 24 (training), batch 62 (has 64 graphs). Loss so far: 0.5331
Runing epoch 24 (training), batch 63 (has 64 graphs). Loss so far: 0.5246
Runing epoch 24 (training), batch 64 (has 64 graphs). Loss so far: 0.5198
Runing epoch 24 (training), batch 65 (has 64 graphs). Loss so far: 0.5118
Runing epoch 24 (training), batch 66 (has 64 graphs). Loss so far: 0.5045
Runing epoch 24 (training), batch 67 (has 64 graphs). Loss so far: 0.4970
Runing epoch 24 (training), batch 68 (has 64 graphs). Loss so far: 0.4915
Runing epoch 24 (training), batch 69 (has 64 graphs). Loss so far: 0.4897
Runing epoch 24 (training), batch 70 (has 64 graphs). Loss so far: 0.5031
Runing epoch 24 (training), batch 71 (has 64 graphs). Loss so far: 0.5006
Runing epoch 24 (training), batch 72 (has 64 graphs). Loss so far: 0.4936
Runing epoch 24 (training), batch 73 (has 64 graphs). Loss so far: 0.4869
Runing epoch 24 (training), batch 74 (has 64 graphs). Loss so far: 0.4804
Runing epoch 24 (training), batch 75 (has 64 graphs). Loss so far: 0.6084
Runing epoch 24 (training), batch 76 (has 64 graphs). Loss so far: 0.6070
Runing epoch 24 (training), batch 77 (has 64 graphs). Loss so far: 0.6087
Runing epoch 24 (training), batch 78 (has 64 graphs). Loss so far: 0.6084
Runing epoch 24 (training), batch 79 (has 64 graphs). Loss so far: 0.6093
Runing epoch 24 (training), batch 80 (has 64 graphs). Loss so far: 0.6103
Runing epoch 24 (training), batch 81 (has 64 graphs). Loss so far: 0.6102
Runing epoch 24 (training), batch 82 (has 64 graphs). Loss so far: 0.6110
Runing epoch 24 (training), batch 83 (has 64 graphs). Loss so far: 0.6123
Runing epoch 24 (training), batch 84 (has 64 graphs). Loss so far: 0.6168
Runing epoch 24 (training), batch 85 (has 64 graphs). Loss so far: 0.6194
Runing epoch 24 (training), batch 86 (has 64 graphs). Loss so far: 0.6210
Runing epoch 24 (training), batch 87 (has 64 graphs). Loss so far: 0.6253
Runing epoch 24 (training), batch 88 (has 64 graphs). Loss so far: 0.6266
Runing epoch 24 (training), batch 89 (has 64 graphs). Loss so far: 0.6259
Runing epoch 24 (training), batch 90 (has 64 graphs). Loss so far: 0.6261
Runing epoch 24 (training), batch 91 (has 64 graphs). Loss so far: 0.6277
Runing epoch 24 (training), batch 92 (has 64 graphs). Loss so far: 0.6310
Runing epoch 24 (training), batch 93 (has 64 graphs). Loss so far: 0.6314
Runing epoch 24 (training), batch 94 (has 64 graphs). Loss so far: 0.6301
Runing epoch 24 (training), batch 95 (has 64 graphs). Loss so far: 0.6309
Runing epoch 24 (training), batch 96 (has 64 graphs). Loss so far: 0.6316
Runing epoch 24 (training), batch 97 (has 64 graphs). Loss so far: 0.6341
Runing epoch 24 (training), batch 98 (has 64 graphs). Loss so far: 0.6347
Runing epoch 24 (training), batch 99 (has 64 graphs). Loss so far: 0.6338
Runing epoch 24 (training), batch 100 (has 64 graphs). Loss so far: 0.6320
Runing epoch 24 (training), batch 101 (has 64 graphs). Loss so far: 0.6353
Runing epoch 24 (training), batch 102 (has 64 graphs). Loss so far: 0.6352
Runing epoch 24 (training), batch 103 (has 64 graphs). Loss so far: 0.6333
Runing epoch 24 (training), batch 104 (has 64 graphs). Loss so far: 0.6357
Runing epoch 24 (training), batch 105 (has 64 graphs). Loss so far: 0.6391
Runing epoch 24 (training), batch 106 (has 64 graphs). Loss so far: 0.6425
Runing epoch 24 (training), batch 107 (has 64 graphs). Loss so far: 0.6474
Runing epoch 24 (training), batch 108 (has 64 graphs). Loss so far: 0.6472
Runing epoch 24 (training), batch 109 (has 64 graphs). Loss so far: 0.6499
Runing epoch 24 (training), batch 110 (has 64 graphs). Loss so far: 0.6535
Runing epoch 24 (training), batch 111 (has 64 graphs). Loss so far: 0.6554
Runing epoch 24 (training), batch 112 (has 64 graphs). Loss so far: 0.6600
Runing epoch 24 (training), batch 113 (has 64 graphs). Loss so far: 0.6591
Runing epoch 24 (training), batch 114 (has 64 graphs). Loss so far: 0.6597
Runing epoch 24 (training), batch 115 (has 64 graphs). Loss so far: 0.6559
Runing epoch 24 (training), batch 116 (has 64 graphs). Loss so far: 0.6545
Runing epoch 24 (training), batch 117 (has 64 graphs). Loss so far: 0.6568
Runing epoch 24 (training), batch 118 (has 64 graphs). Loss so far: 0.6592
Runing epoch 24 (training), batch 119 (has 64 graphs). Loss so far: 0.6539
Runing epoch 24 (training), batch 120 (has 64 graphs). Loss so far: 0.6538
Runing epoch 24 (training), batch 121 (has 64 graphs). Loss so far: 0.6541
Runing epoch 24 (training), batch 122 (has 64 graphs). Loss so far: 0.6537
Runing epoch 24 (training), batch 123 (has 64 graphs). Loss so far: 0.6537
Runing epoch 24 (training), batch 124 (has 64 graphs). Loss so far: 0.6537
Runing epoch 24 (training), batch 125 (has 64 graphs). Loss so far: 0.6606
Runing epoch 24 (training), batch 126 (has 64 graphs). Loss so far: 0.6602
Runing epoch 24 (training), batch 127 (has 64 graphs). Loss so far: 0.6591
Runing epoch 24 (training), batch 128 (has 64 graphs). Loss so far: 0.6584
Runing epoch 24 (training), batch 129 (has 64 graphs). Loss so far: 0.6598
Runing epoch 24 (training), batch 130 (has 64 graphs). Loss so far: 0.6674
Runing epoch 24 (training), batch 131 (has 64 graphs). Loss so far: 0.6644
Runing epoch 24 (training), batch 132 (has 64 graphs). Loss so far: 0.6618
Runing epoch 24 (training), batch 133 (has 64 graphs). Loss so far: 0.6640
Runing epoch 24 (training), batch 134 (has 64 graphs). Loss so far: 0.6643
Runing epoch 24 (training), batch 135 (has 64 graphs). Loss so far: 0.6602
Runing epoch 24 (training), batch 136 (has 64 graphs). Loss so far: 0.6569
Runing epoch 24 (training), batch 137 (has 64 graphs). Loss so far: 0.6565
Runing epoch 24 (training), batch 138 (has 64 graphs). Loss so far: 0.6518
Runing epoch 24 (training), batch 139 (has 64 graphs). Loss so far: 0.6491
Runing epoch 24 (training), batch 140 (has 64 graphs). Loss so far: 0.6515
Runing epoch 24 (training), batch 141 (has 64 graphs). Loss so far: 0.6469
Runing epoch 24 (training), batch 142 (has 64 graphs). Loss so far: 0.6467
Runing epoch 24 (training), batch 143 (has 64 graphs). Loss so far: 0.6426
Runing epoch 24 (training), batch 144 (has 64 graphs). Loss so far: 0.6468
Runing epoch 24 (training), batch 145 (has 64 graphs). Loss so far: 0.6438
Runing epoch 24 (training), batch 146 (has 64 graphs). Loss so far: 0.6447
Runing epoch 24 (training), batch 147 (has 64 graphs). Loss so far: 0.6443
Runing epoch 24 (training), batch 148 (has 64 graphs). Loss so far: 0.6404
Runing epoch 24 (training), batch 149 (has 64 graphs). Loss so far: 0.6361
Runing epoch 24 (training), batch 150 (has 64 graphs). Loss so far: 0.6362
Runing epoch 24 (training), batch 151 (has 64 graphs). Loss so far: 0.6334
Runing epoch 24 (training), batch 152 (has 64 graphs). Loss so far: 0.6326
Runing epoch 24 (training), batch 153 (has 42 graphs). Loss so far: 0.6315

[K Train: loss: 0.63153 || Top1 0.768 Top2 0.961 Top3 0.989 Top4 0.995 Top5 1.000 || graphs/sec: 27.26 | nodes/sec: 1363 | graphs: 9770 | nodes: 488500 | lr: 0.001000
Runing epoch 24 (validation), batch 1 (has 64 graphs). Loss so far: 0.6770
Runing epoch 24 (validation), batch 2 (has 64 graphs). Loss so far: 0.8986
Runing epoch 24 (validation), batch 3 (has 64 graphs). Loss so far: 0.5998
Runing epoch 24 (validation), batch 4 (has 64 graphs). Loss so far: 0.4586
Runing epoch 24 (validation), batch 5 (has 64 graphs). Loss so far: 0.3669
Runing epoch 24 (validation), batch 6 (has 64 graphs). Loss so far: 0.3126
Runing epoch 24 (validation), batch 7 (has 64 graphs). Loss so far: 0.2681
Runing epoch 24 (validation), batch 8 (has 64 graphs). Loss so far: 0.3219
Runing epoch 24 (validation), batch 9 (has 64 graphs). Loss so far: 0.2862
Runing epoch 24 (validation), batch 10 (has 64 graphs). Loss so far: 0.2576
Runing epoch 24 (validation), batch 11 (has 64 graphs). Loss so far: 0.2346
Runing epoch 24 (validation), batch 12 (has 64 graphs). Loss so far: 0.2992
Runing epoch 24 (validation), batch 13 (has 64 graphs). Loss so far: 0.2762
Runing epoch 24 (validation), batch 14 (has 64 graphs). Loss so far: 0.3150
Runing epoch 24 (validation), batch 15 (has 64 graphs). Loss so far: 0.2940
Runing epoch 24 (validation), batch 16 (has 64 graphs). Loss so far: 0.3464
Runing epoch 24 (validation), batch 17 (has 64 graphs). Loss so far: 0.3675
Runing epoch 24 (validation), batch 18 (has 64 graphs). Loss so far: 0.3471
Runing epoch 24 (validation), batch 19 (has 64 graphs). Loss so far: 0.3408
Runing epoch 24 (validation), batch 20 (has 64 graphs). Loss so far: 0.3241
Runing epoch 24 (validation), batch 21 (has 64 graphs). Loss so far: 0.3338
Runing epoch 24 (validation), batch 22 (has 64 graphs). Loss so far: 0.3198
Runing epoch 24 (validation), batch 23 (has 64 graphs). Loss so far: 0.3234
Runing epoch 24 (validation), batch 24 (has 64 graphs). Loss so far: 0.3103
Runing epoch 24 (validation), batch 25 (has 64 graphs). Loss so far: 0.3440
Runing epoch 24 (validation), batch 26 (has 64 graphs). Loss so far: 0.3308
Runing epoch 24 (validation), batch 27 (has 64 graphs). Loss so far: 0.3763
Runing epoch 24 (validation), batch 28 (has 64 graphs). Loss so far: 0.3810
Runing epoch 24 (validation), batch 29 (has 64 graphs). Loss so far: 0.4315
Runing epoch 24 (validation), batch 30 (has 64 graphs). Loss so far: 0.4433
Runing epoch 24 (validation), batch 31 (has 64 graphs). Loss so far: 0.4625
Runing epoch 24 (validation), batch 32 (has 64 graphs). Loss so far: 0.5269
Runing epoch 24 (validation), batch 33 (has 64 graphs). Loss so far: 0.5318
Runing epoch 24 (validation), batch 34 (has 64 graphs). Loss so far: 0.5496
Runing epoch 24 (validation), batch 35 (has 64 graphs). Loss so far: 0.5534
Runing epoch 24 (validation), batch 36 (has 64 graphs). Loss so far: 0.5382
Runing epoch 24 (validation), batch 37 (has 64 graphs). Loss so far: 0.5835
Runing epoch 24 (validation), batch 38 (has 64 graphs). Loss so far: 0.5731
Runing epoch 24 (validation), batch 39 (has 64 graphs). Loss so far: 0.5829
Runing epoch 24 (validation), batch 40 (has 64 graphs). Loss so far: 0.5686
Runing epoch 24 (validation), batch 41 (has 64 graphs). Loss so far: 0.5738
Runing epoch 24 (validation), batch 42 (has 64 graphs). Loss so far: 0.5798
Runing epoch 24 (validation), batch 43 (has 64 graphs). Loss so far: 0.6002
Runing epoch 24 (validation), batch 44 (has 64 graphs). Loss so far: 0.6217
Runing epoch 24 (validation), batch 45 (has 64 graphs). Loss so far: 0.6197
Runing epoch 24 (validation), batch 46 (has 64 graphs). Loss so far: 0.6311
Runing epoch 24 (validation), batch 47 (has 64 graphs). Loss so far: 0.6315
Runing epoch 24 (validation), batch 48 (has 64 graphs). Loss so far: 0.6233
Runing epoch 24 (validation), batch 49 (has 64 graphs). Loss so far: 0.6756
Runing epoch 24 (validation), batch 50 (has 64 graphs). Loss so far: 0.6784
Runing epoch 24 (validation), batch 51 (has 64 graphs). Loss so far: 0.6651
Runing epoch 24 (validation), batch 52 (has 64 graphs). Loss so far: 0.6748
Runing epoch 24 (validation), batch 53 (has 64 graphs). Loss so far: 0.6751
Runing epoch 24 (validation), batch 54 (has 64 graphs). Loss so far: 0.6679
Runing epoch 24 (validation), batch 55 (has 64 graphs). Loss so far: 0.6639
Runing epoch 24 (validation), batch 56 (has 64 graphs). Loss so far: 0.6665
Runing epoch 24 (validation), batch 57 (has 64 graphs). Loss so far: 0.6551
Runing epoch 24 (validation), batch 58 (has 64 graphs). Loss so far: 0.6565
Runing epoch 24 (validation), batch 59 (has 64 graphs). Loss so far: 0.6454
Runing epoch 24 (validation), batch 60 (has 64 graphs). Loss so far: 0.6352
Runing epoch 24 (validation), batch 61 (has 64 graphs). Loss so far: 0.6259
Runing epoch 24 (validation), batch 62 (has 64 graphs). Loss so far: 0.6355
Runing epoch 24 (validation), batch 63 (has 64 graphs). Loss so far: 0.6510
Runing epoch 24 (validation), batch 64 (has 64 graphs). Loss so far: 0.6442
Runing epoch 24 (validation), batch 65 (has 64 graphs). Loss so far: 0.6624
Runing epoch 24 (validation), batch 66 (has 64 graphs). Loss so far: 0.6523
Runing epoch 24 (validation), batch 67 (has 61 graphs). Loss so far: 0.6426

[K valid: loss: 0.64259 || Top1 0.677 Top2 0.964 Top3 0.994 Top4 1.000 Top5 1.000 || graphs/sec: 61.81 | nodes/sec: 3091 | graphs: 4285 | nodes: 214250 | lr: 0.001000
== Epoch 25
Runing epoch 25 (training), batch 1 (has 64 graphs). Loss so far: 1.1677
Runing epoch 25 (training), batch 2 (has 64 graphs). Loss so far: 1.2346
Runing epoch 25 (training), batch 3 (has 64 graphs). Loss so far: 1.0868
Runing epoch 25 (training), batch 4 (has 64 graphs). Loss so far: 0.9132
Runing epoch 25 (training), batch 5 (has 64 graphs). Loss so far: 0.9190
Runing epoch 25 (training), batch 6 (has 64 graphs). Loss so far: 0.7714
Runing epoch 25 (training), batch 7 (has 64 graphs). Loss so far: 0.6613
Runing epoch 25 (training), batch 8 (has 64 graphs). Loss so far: 0.5786
Runing epoch 25 (training), batch 9 (has 64 graphs). Loss so far: 0.5169
Runing epoch 25 (training), batch 10 (has 64 graphs). Loss so far: 0.4653
Runing epoch 25 (training), batch 11 (has 64 graphs). Loss so far: 0.5090
Runing epoch 25 (training), batch 12 (has 64 graphs). Loss so far: 0.4669
Runing epoch 25 (training), batch 13 (has 64 graphs). Loss so far: 0.4666
Runing epoch 25 (training), batch 14 (has 64 graphs). Loss so far: 0.5640
Runing epoch 25 (training), batch 15 (has 64 graphs). Loss so far: 0.5762
Runing epoch 25 (training), batch 16 (has 64 graphs). Loss so far: 0.6127
Runing epoch 25 (training), batch 17 (has 64 graphs). Loss so far: 0.5770
Runing epoch 25 (training), batch 18 (has 64 graphs). Loss so far: 0.5600
Runing epoch 25 (training), batch 19 (has 64 graphs). Loss so far: 0.5306
Runing epoch 25 (training), batch 20 (has 64 graphs). Loss so far: 0.5207
Runing epoch 25 (training), batch 21 (has 64 graphs). Loss so far: 0.4961
Runing epoch 25 (training), batch 22 (has 64 graphs). Loss so far: 0.6274
Runing epoch 25 (training), batch 23 (has 64 graphs). Loss so far: 0.6087
Runing epoch 25 (training), batch 24 (has 64 graphs). Loss so far: 0.5925
Runing epoch 25 (training), batch 25 (has 64 graphs). Loss so far: 0.5693
Runing epoch 25 (training), batch 26 (has 64 graphs). Loss so far: 0.5717
Runing epoch 25 (training), batch 27 (has 64 graphs). Loss so far: 0.5758
Runing epoch 25 (training), batch 28 (has 64 graphs). Loss so far: 0.6005
Runing epoch 25 (training), batch 29 (has 64 graphs). Loss so far: 0.5886
Runing epoch 25 (training), batch 30 (has 64 graphs). Loss so far: 0.5704
Runing epoch 25 (training), batch 31 (has 64 graphs). Loss so far: 0.5746
Runing epoch 25 (training), batch 32 (has 64 graphs). Loss so far: 0.5718
Runing epoch 25 (training), batch 33 (has 64 graphs). Loss so far: 0.5867
Runing epoch 25 (training), batch 34 (has 64 graphs). Loss so far: 0.5703
Runing epoch 25 (training), batch 35 (has 64 graphs). Loss so far: 0.5823
Runing epoch 25 (training), batch 36 (has 64 graphs). Loss so far: 0.5706
Runing epoch 25 (training), batch 37 (has 64 graphs). Loss so far: 0.5685
Runing epoch 25 (training), batch 38 (has 64 graphs). Loss so far: 0.5559
Runing epoch 25 (training), batch 39 (has 64 graphs). Loss so far: 0.5479
Runing epoch 25 (training), batch 40 (has 64 graphs). Loss so far: 0.5347
Runing epoch 25 (training), batch 41 (has 64 graphs). Loss so far: 0.5342
Runing epoch 25 (training), batch 42 (has 64 graphs). Loss so far: 0.5471
Runing epoch 25 (training), batch 43 (has 64 graphs). Loss so far: 0.5344
Runing epoch 25 (training), batch 44 (has 64 graphs). Loss so far: 0.5285
Runing epoch 25 (training), batch 45 (has 64 graphs). Loss so far: 0.5308
Runing epoch 25 (training), batch 46 (has 64 graphs). Loss so far: 0.5195
Runing epoch 25 (training), batch 47 (has 64 graphs). Loss so far: 0.5305
Runing epoch 25 (training), batch 48 (has 64 graphs). Loss so far: 0.5266
Runing epoch 25 (training), batch 49 (has 64 graphs). Loss so far: 0.5191
Runing epoch 25 (training), batch 50 (has 64 graphs). Loss so far: 0.5267
Runing epoch 25 (training), batch 51 (has 64 graphs). Loss so far: 0.5170
Runing epoch 25 (training), batch 52 (has 64 graphs). Loss so far: 0.5174
Runing epoch 25 (training), batch 53 (has 64 graphs). Loss so far: 0.5226
Runing epoch 25 (training), batch 54 (has 64 graphs). Loss so far: 0.5129
Runing epoch 25 (training), batch 55 (has 64 graphs). Loss so far: 0.5273
Runing epoch 25 (training), batch 56 (has 64 graphs). Loss so far: 0.5348
Runing epoch 25 (training), batch 57 (has 64 graphs). Loss so far: 0.5263
Runing epoch 25 (training), batch 58 (has 64 graphs). Loss so far: 0.5233
Runing epoch 25 (training), batch 59 (has 64 graphs). Loss so far: 0.5185
Runing epoch 25 (training), batch 60 (has 64 graphs). Loss so far: 0.5220
Runing epoch 25 (training), batch 61 (has 64 graphs). Loss so far: 0.5478
Runing epoch 25 (training), batch 62 (has 64 graphs). Loss so far: 0.5390
Runing epoch 25 (training), batch 63 (has 64 graphs). Loss so far: 0.5956
Runing epoch 25 (training), batch 64 (has 64 graphs). Loss so far: 0.5990
Runing epoch 25 (training), batch 65 (has 64 graphs). Loss so far: 0.6029
Runing epoch 25 (training), batch 66 (has 64 graphs). Loss so far: 0.6028
Runing epoch 25 (training), batch 67 (has 64 graphs). Loss so far: 0.5975
Runing epoch 25 (training), batch 68 (has 64 graphs). Loss so far: 0.5922
Runing epoch 25 (training), batch 69 (has 64 graphs). Loss so far: 0.5893
Runing epoch 25 (training), batch 70 (has 64 graphs). Loss so far: 0.5918
Runing epoch 25 (training), batch 71 (has 64 graphs). Loss so far: 0.5928
Runing epoch 25 (training), batch 72 (has 64 graphs). Loss so far: 0.5906
Runing epoch 25 (training), batch 73 (has 64 graphs). Loss so far: 0.5877
Runing epoch 25 (training), batch 74 (has 64 graphs). Loss so far: 0.5986
Runing epoch 25 (training), batch 75 (has 64 graphs). Loss so far: 0.6067
Runing epoch 25 (training), batch 76 (has 64 graphs). Loss so far: 0.6035
Runing epoch 25 (training), batch 77 (has 64 graphs). Loss so far: 0.6042
Runing epoch 25 (training), batch 78 (has 64 graphs). Loss so far: 0.6075
Runing epoch 25 (training), batch 79 (has 64 graphs). Loss so far: 0.6107
Runing epoch 25 (training), batch 80 (has 64 graphs). Loss so far: 0.6109
Runing epoch 25 (training), batch 81 (has 64 graphs). Loss so far: 0.6097
Runing epoch 25 (training), batch 82 (has 64 graphs). Loss so far: 0.6071
Runing epoch 25 (training), batch 83 (has 64 graphs). Loss so far: 0.6071
Runing epoch 25 (training), batch 84 (has 64 graphs). Loss so far: 0.6082
Runing epoch 25 (training), batch 85 (has 64 graphs). Loss so far: 0.6141
Runing epoch 25 (training), batch 86 (has 64 graphs). Loss so far: 0.6189
Runing epoch 25 (training), batch 87 (has 64 graphs). Loss so far: 0.6230
Runing epoch 25 (training), batch 88 (has 64 graphs). Loss so far: 0.6274
Runing epoch 25 (training), batch 89 (has 64 graphs). Loss so far: 0.6288
Runing epoch 25 (training), batch 90 (has 64 graphs). Loss so far: 0.6281
Runing epoch 25 (training), batch 91 (has 64 graphs). Loss so far: 0.6260
Runing epoch 25 (training), batch 92 (has 64 graphs). Loss so far: 0.6275
Runing epoch 25 (training), batch 93 (has 64 graphs). Loss so far: 0.6293
Runing epoch 25 (training), batch 94 (has 64 graphs). Loss so far: 0.6368
Runing epoch 25 (training), batch 95 (has 64 graphs). Loss so far: 0.6317
Runing epoch 25 (training), batch 96 (has 64 graphs). Loss so far: 0.6293
Runing epoch 25 (training), batch 97 (has 64 graphs). Loss so far: 0.6259
Runing epoch 25 (training), batch 98 (has 64 graphs). Loss so far: 0.6292
Runing epoch 25 (training), batch 99 (has 64 graphs). Loss so far: 0.6231
Runing epoch 25 (training), batch 100 (has 64 graphs). Loss so far: 0.6274
Runing epoch 25 (training), batch 101 (has 64 graphs). Loss so far: 0.6305
Runing epoch 25 (training), batch 102 (has 64 graphs). Loss so far: 0.6281
Runing epoch 25 (training), batch 103 (has 64 graphs). Loss so far: 0.6250
Runing epoch 25 (training), batch 104 (has 64 graphs). Loss so far: 0.6208
Runing epoch 25 (training), batch 105 (has 64 graphs). Loss so far: 0.6209
Runing epoch 25 (training), batch 106 (has 64 graphs). Loss so far: 0.6176
Runing epoch 25 (training), batch 107 (has 64 graphs). Loss so far: 0.6169
Runing epoch 25 (training), batch 108 (has 64 graphs). Loss so far: 0.6244
Runing epoch 25 (training), batch 109 (has 64 graphs). Loss so far: 0.6223
Runing epoch 25 (training), batch 110 (has 64 graphs). Loss so far: 0.6220
Runing epoch 25 (training), batch 111 (has 64 graphs). Loss so far: 0.6230
Runing epoch 25 (training), batch 112 (has 64 graphs). Loss so far: 0.6189
Runing epoch 25 (training), batch 113 (has 64 graphs). Loss so far: 0.6226
Runing epoch 25 (training), batch 114 (has 64 graphs). Loss so far: 0.6172
Runing epoch 25 (training), batch 115 (has 64 graphs). Loss so far: 0.6132
Runing epoch 25 (training), batch 116 (has 64 graphs). Loss so far: 0.6145
Runing epoch 25 (training), batch 117 (has 64 graphs). Loss so far: 0.6092
Runing epoch 25 (training), batch 118 (has 64 graphs). Loss so far: 0.6273
